area, name, level, item type, weapon type, armor position, stats, weapon flags, extra flags, affects, found at
Limbo, "a feather of the Phoenix", 0, warp_stone, none, hold, none, none, magic no_locate burn_proof noidentify, hp 100 , equipped by the blue phoenix
Seven Deadly sins, "Zeal", 25, gem, none, hold, none, none, no_locate teleport, , inventory of The Demon of Vengence
Seven Deadly sins, "Humility", 25, gem, none, hold, none, none, no_locate, , inventory of {DNethron{x
Seven Deadly sins, "Love", 25, gem, none, hold, none, none, no_locate teleport, , inventory of a Huge mutated dragon
Seven Deadly sins, "a bag", 0, container, none, none, none, none, burn_proof, , inventory of the yinnish kaethan monk
Seven Deadly sins, "Faith", 25, gem, none, hold, none, none, no_locate teleport, , in container a bag
Seven Deadly sins, "Kindness", 25, gem, none, hold, none, none, no_locate teleport, , inventory of nature
Seven Deadly sins, "Path to the glory", 25, gem, none, hold, none, none, no_locate teleport, , inventory of the ancient white dragon
Seven Deadly sins, "Generosity", 25, gem, none, hold, none, none, no_locate teleport, , inventory of Zeus
Smurfville, "a bunch of smurfberries", 0, pill, none, none, none, none, none, , inventory of a smurf
Smurfville, "a bunch of smurfberries", 0, pill, none, none, none, none, none, , inventory of a smurf
Smurfville, "a bunch of smurfberries", 0, pill, none, none, none, none, none, , inventory of a smurf
Smurfville, "a smurf hat", 3, armor, none, head, 3/3/3/0, none, none, , inventory of a smurf
Smurfville, "a smurf hat", 3, armor, none, head, 3/3/3/0, none, none, , inventory of a smurf
Smurfville, "a smurf hat", 3, armor, none, head, 3/3/3/0, none, none, , inventory of a smurf
Smurfville, "a smurf hat", 3, armor, none, head, 3/3/3/0, none, none, , inventory of a smurf
Smurfville, "a pair of glasses", 3, clothing, none, head, none, none, glow, wisdom 1 dexterity -1 , equipped by Brainy Smurf
Smurfville, "a small axe", 3, weapon, axe, none, 1d7 (average 4), none, none, , equipped by Handy Smurf
Smurfville, "a small axe", 3, weapon, axe, none, 1d7 (average 4), none, none, , equipped by Hefty Smurf
Smurfville, "a small necklace", 5, jewelry, none, neck, none, none, glow, intelligence 1 , equipped by Smurfette
Smurfville, "a tiny key", 0, key, none, none, none, none, none, , inventory of Smurfette
Smurfville, "a small wand", 3, wand, none, hold, none, none, none, , equipped by Gargamel
Smurfville, "a pink potion", 0, potion, none, none, none, none, none, , inventory of Papa Smurf
Smurfville, "a small key", 0, key, none, none, none, none, none, , inventory of Papa Smurf
Smurfville, "Smurfy well", 0, container, none, none, none, none, none, , in room Smurfy Road
Smurfville, "an empty glass vial", 0, drink, none, none, none, none, none, , in container Smurfy well
Smurfville, "Smurfy well", 0, container, none, none, none, none, none, , in room Smurfy Road
Smurfville, "an empty glass vial", 0, drink, none, none, none, none, none, , in container Smurfy well
Plains, "a small dusk of timian herbs", 0, food, none, none, none, none, none, , in room The foothills
Plains, "a small dusk of black gyvel", 0, food, none, none, none, none, none, , in room Grassy plains
